Metric,Baseline,Optimized,Improvement (%)
σ Mean (volatility),0.12903569475498183,0.021174673081926734,83.59006542946581
σ Std Dev,0.045749909357927915,0.007138391347721396,84.39692788924751
σ Max,0.3636176523594621,0.0573132699958289,84.2380397035371
σ Min,0.1076416893934922,0.0176996161198659,83.55691347878829
σ Median,0.115313235925515,0.01901782470964475,83.50768274170274
σ Q1 (25%),0.11383154397384432,0.01878307609776925,83.49923453372017
σ Q3 (75%),0.11699803331974332,0.0192931432017575,83.50985682893372
