turn,setup,rpm_mean,speed_mean,accel_lat_mean,tire_temp_mean,glicko_sigma_mean,engine_efficiency_mean
Turn1,Baseline,13384.637815068756,125.65866372620515,0.7589082720731343,104.96922820294765,0.23180379399710838,88.04887925620989
Turn2,Baseline,3000.0,0.0,0.0,89.52904831976139,0.11502176737781217,95.75895427992228
Turn3,Baseline,3000.0,0.0,0.0,89.51161405463583,0.11499655563931133,95.75819871453251
Turn4,Baseline,3000.0,0.0,0.0,89.48860797659744,0.11492834747048691,95.75871601012865
Turn5,Baseline,3000.0,0.0,0.0,89.50010200795224,0.11500512757924101,95.75904119817639
Turn6,Baseline,3000.0,0.0,0.0,89.48761697947182,0.1149352145772273,95.7578357144689
Straight,Baseline,3000.0,0.0,0.0,89.52855695598134,0.11479016182068877,95.75753055077173
Straight,Optimized,10863.235886427527,95.52300092709264,0.0596221056885599,96.83250023446504,0.025783016141314903,91.82056839405021
