Metric,Baseline,Optimized,Improvement (%)
σ Mean (volatility),0.12901639318793995,0.021173949899834277,83.58817094740054
σ Std Dev,0.045805003396116345,0.007140338525227474,84.41144417460544
σ Max,0.3646192196810172,0.0576634980662699,84.18528290507666
σ Min,0.107158563762316,0.0177145983203131,83.46879829445537
σ Median,0.11526761112041245,0.019020741235943397,83.49862459101917
σ Q1 (25%),0.11376823334253358,0.018784359189325903,83.48892424762374
σ Q3 (75%),0.11697402826500669,0.01929315639312815,83.50646149466687
