turn,setup,rpm_mean,speed_mean,accel_lat_mean,tire_temp_mean,glicko_sigma_mean,engine_efficiency_mean
Turn1,Baseline,13383.743359746879,125.6495726451034,0.7589218938861964,104.95987536148687,0.23186506239759877,88.04246966026595
Turn2,Baseline,3000.0,0.0,0.0,89.5085533309686,0.1149891139116037,95.75810249246122
Turn3,Baseline,3000.0,0.0,0.0,89.52669280569111,0.11496317902612613,95.75744916359591
Turn4,Baseline,3000.0,0.0,0.0,89.50909853904884,0.11503670885665038,95.7553768813668
Turn5,Baseline,3000.0,0.0,0.0,89.49983715156164,0.11507713626604073,95.75818551849348
Turn6,Baseline,3000.0,0.0,0.0,89.52723033967904,0.11499185338434548,95.75745963616023
Straight,Baseline,3000.0,0.0,0.0,89.41532514747078,0.11495605660473956,95.75897332889055
Straight,Optimized,10888.49609237807,95.52300092709264,0.0596221056885599,96.7074023379958,0.025644027529370884,91.7731321606896
