Metric,Baseline,Optimized,Improvement (%)
σ Mean (volatility),0.12904428225977355,0.021176793154792976,83.58951455736499
σ Std Dev,0.04581519210034319,0.007141929256264429,84.41143880697396
σ Max,0.3631769348278356,0.0578066256915118,84.08306801782027
σ Min,0.1071361107855232,0.0178867646008922,83.30463513212656
σ Median,0.11528204217375305,0.0190224963216187,83.49916781232241
σ Q1 (25%),0.11381484186752283,0.01878976739996405,83.49093396638482
σ Q3 (75%),0.11697010726971283,0.019295880862746903,83.50357940746866
